dataset,tree_depth,accuracy,sensitivity,specificity,f1
bc,1,0.8584070796460177,0.9428571428571428,0.8205128205128205,0.8048780487804879
bc,2,0.9026548672566371,0.8571428571428571,0.9230769230769231,0.8450704225352113
bc,3,0.8938053097345132,0.9142857142857143,0.8846153846153846,0.8421052631578947
bc,5,0.9203539823008849,0.8857142857142857,0.9358974358974359,0.8732394366197184
bc,7,0.9203539823008849,0.8857142857142857,0.9358974358974359,0.8732394366197184
bc,10,0.911504424778761,0.8857142857142857,0.9230769230769231,0.8611111111111112
hp,1,0.8125,0.0,0.8666666666666667,0.0
hp,2,0.75,0.0,0.8,0.0
hp,3,0.75,0.0,0.8,0.0
hp,5,0.6875,0.0,0.7333333333333333,0.0
hp,7,0.6875,0.0,0.7333333333333333,0.0
hp,10,0.6875,0.0,0.7333333333333333,0.0
hp_imp,1,0.8709677419354839,0.2,1.0,0.33333333333333337
hp_imp,2,0.8387096774193549,0.2,0.9615384615384616,0.28571428571428575
hp_imp,3,0.8387096774193549,0.2,0.9615384615384616,0.28571428571428575
hp_imp,5,0.8064516129032258,0.2,0.9230769230769231,0.25
hp_imp,7,0.7741935483870968,0.4,0.8461538461538461,0.3636363636363636
hp_imp,10,0.8064516129032258,0.4,0.8846153846153846,0.4000000000000001
